tipo,cidade,bairro,area_m2,quartos,banheiros,suites,andar,vagas,preco,latitude,longitude,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,estado,tipo_imovel_padronizado
apartamento,Fortaleza,Benfica,67.0,3.0,2.0,2.0,9.0,2.0,670000.0,-3.747919,-38.536369,False,False,False,False,False,False,True,False,False,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,228.0,4.0,5.0,4.0,0.0,4.0,4000000.0,-3.748233,-38.482643,False,False,False,True,False,False,False,True,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,76.0,2.0,3.0,2.0,0.0,2.0,790000.0,-3.775436,-38.490269,False,False,True,True,False,True,True,False,False,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,115.0,3.0,4.0,3.0,0.0,3.0,1150000.0,-3.743815,-38.476977,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Cocó,112.0,3.0,3.0,1.0,0.0,2.0,1080000.0,-3.748549,-38.470569,False,False,False,True,False,False,True,False,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,De Lourdes,61.0,2.0,2.0,1.0,0.0,2.0,560000.0,-3.734,-38.469,True,False,False,True,True,False,True,True,True,False,True,CE,apartamento_padrao
apartamento,Fortaleza,Edson Queiroz,93.0,3.0,3.0,2.0,0.0,2.0,920000.0,-3.787938,-38.478678,True,False,True,True,False,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Edson Queiroz,71.0,2.0,2.0,2.0,4.0,1.0,700000.0,-3.775287,-38.475561,False,False,False,True,False,False,True,False,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Cajazeiras,61.0,3.0,2.0,1.0,0.0,1.0,230000.0,-3.798766,-38.508412,False,False,False,True,True,False,True,False,True,False,False,CE,apartamento_padrao
apartamento,Fortaleza,Engenheiro Luciano Cavalcante,134.0,4.0,4.0,4.0,0.0,3.0,1469900.0,-3.771573,-38.48606,True,False,True,True,True,True,True,True,True,True,True,CE,apartamento_padrao
apartamento,Fortaleza,Guararapes,112.0,3.0,4.0,3.0,0.0,3.0,720000.0,-3.763603,-38.485185,True,False,True,True,False,False,False,True,True,True,True,CE,apartamento_padrao
